,,SMILES,logS(mol/kg),T(?),T(K),Water density (g/cm^3),,
202,sample_203,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23,25,298.15,0.997,,
203,sample_204,CCCCOC(C)=O,-1.24,25,298.15,0.997,,
204,sample_205,CCCCCCO,-1.24,25,298.15,0.997,,
205,sample_206,O=C1NC(=O)C(=O)C(=O)N1,-1.25,25,298.15,0.997,,
206,sample_207,CCC(C)(O)C(C)(C)C,-1.27,25,298.15,0.997,,
207,sample_208,CC(=O)c1ccccc1,-1.28,25,298.15,0.997,,
208,sample_209,CC(=O)c1cccc(N)c1,-1.28,25,298.15,0.997,,
209,sample_210,CCCC(=O)OCC,-1.28,25,298.15,0.997,,
210,sample_211,CC(Cl)Cl,-1.29,25,298.15,0.997,,
211,sample_212,COc1ccc(NC(C)=O)cc1,-1.30,25,298.15,0.997,,
212,sample_213,c1ccc2ncccc2c1,-1.30,25,298.15,0.997,,
213,sample_214,CCCCCC=O,-1.30,25,298.15,0.997,,
214,sample_215,ClCCBr,-1.32,25,298.15,0.997,,
215,sample_216,CC(=O)Nc1ccccc1,-1.33,25,298.15,0.997,,
216,sample_217,CC(=O)CCC(C)C,-1.33,25,298.15,0.997,,
217,sample_218,CCc1ccccc1O,-1.36,25,298.15,0.997,,
218,sample_219,CCCCC(=O)OC,-1.36,25,298.15,0.997,,
219,sample_220,N=C(N)N[N+](=O)[O-],-1.37,25,298.15,0.997,,
220,sample_221,Nc1cccc(Cl)c1,-1.37,25,298.15,0.997,,
221,sample_222,OCCCc1ccccc1,-1.38,25,298.15,0.997,,
222,sample_223,CC(C)CCC(C)O,-1.38,25,298.15,0.997,,
223,sample_224,CCC1(CC)C(=O)NC(=O)NC1=O,-1.39,25,298.15,0.997,,
224,sample_225,Cc1cc(C)cc(O)c1,-1.40,25,298.15,0.997,,
225,sample_226,CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.40,25,298.15,0.997,,
226,sample_227,CC(=O)Nc1ccccc1Cl,-1.40,25,298.15,0.997,,
227,sample_228,CCCC(O)CCC,-1.40,25,298.15,0.997,,
228,sample_229,O=C(O)CCc1ccccc1,-1.41,25,298.15,0.997,,
229,sample_230,CCCCCC(C)=O,-1.42,25,298.15,0.997,,
230,sample_231,c1ccc(-c2ccccn2)nc1,-1.42,25,298.15,0.997,,
231,sample_232,Cc1cccc(O)c1C,-1.43,25,298.15,0.997,,
232,sample_233,CCCCNCCCC,-1.44,25,298.15,0.997,,
233,sample_234,c1ccsc1,-1.45,25,298.15,0.997,,
234,sample_235,c1ccc2cnccc2c1,-1.45,25,298.15,0.997,,
235,sample_236,O=C(O)c1ccsc1,-1.47,25,298.15,0.997,,
236,sample_237,CCCCl,-1.47,25,298.15,0.997,,
237,sample_238,ClCC(Cl)Cl,-1.48,25,298.15,0.997,,
238,sample_239,COc1ccc(C=O)cc1,-1.49,25,298.15,0.997,,
239,sample_240,O=S(=O)(CCCl)CCCl,-1.50,25,298.15,0.997,,
240,sample_241,N=C(N)NCC(=O)O,-1.51,25,298.15,0.997,,
241,sample_242,c1ccc2[nH]ccc2c1,-1.52,25,298.15,0.997,,
242,sample_243,CCCC(C)(C)CO,-1.52,25,298.15,0.997,,
243,sample_244,Nc1ccccc1C(=O)O,-1.52,25,298.15,0.997,,
244,sample_245,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52,25,298.15,0.997,,
245,sample_246,NCc1ccccc1,-1.53,25,298.15,0.997,,
246,sample_247,c1cc(-c2ccncc2)ccn1,-1.54,25,298.15,0.997,,
247,sample_248,Cc1ccc(C)c(O)c1,-1.54,25,298.15,0.997,,
248,sample_249,CC(C)(C)CCCO,-1.55,25,298.15,0.997,,
249,sample_250,O=C(O)c1ccccc1,-1.55,25,298.15,0.997,,
250,sample_251,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55,25,298.15,0.997,,
251,sample_252,CSc1cnc2cncnc2n1,-1.55,25,298.15,0.997,,
252,sample_253,Oc1ccc(Cl)cc1Cl,-1.55,25,298.15,0.997,,
253,sample_254,CCCCCC(C)O,-1.55,25,298.15,0.997,,
254,sample_255,CCCCC(=O)CC(C)=O,-1.56,25,298.15,0.997,,
255,sample_256,C=CCc1ccc(O)c(OC)c1,-1.56,25,298.15,0.997,,
256,sample_257,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56,25,298.15,0.997,,
257,sample_258,Cc1cc(O)ccc1Cl,-1.57,25,298.15,0.997,,
258,sample_259,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,25,298.15,0.997,,
259,sample_260,CC(=O)Nc1ccc(C=O)cc1,-1.58,25,298.15,0.997,,
260,sample_261,COC(=O)c1ccc(N)cc1,-1.59,25,298.15,0.997,,
261,sample_262,c1ccc(C2CO2)cc1,-1.60,25,298.15,0.997,,
262,sample_263,CC(Cl)CCl,-1.60,25,298.15,0.997,,
263,sample_264,CC(=O)CC(=O)CC(C)C,-1.60,25,298.15,0.997,,
264,sample_265,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.60,25,298.15,0.997,,
265,sample_266,O=C(O)c1ccccc1C(F)(F)F,-1.60,25,298.15,0.997,,
266,sample_267,CC(C)CC(C)CO,-1.60,25,298.15,0.997,,
267,sample_268,CN(C)C(=O)Nc1ccccc1,-1.60,25,298.15,0.997,,
268,sample_269,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61,25,298.15,0.997,,
269,sample_270,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61,25,298.15,0.997,,
270,sample_271,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,25,298.15,0.997,,
271,sample_272,C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62,25,298.15,0.997,,
272,sample_273,ClCCCCl,-1.62,25,298.15,0.997,,
273,sample_274,CCCOCCC,-1.62,25,298.15,0.997,,
274,sample_275,O=Cc1ccc2c(c1)OCO2,-1.63,25,298.15,0.997,,
275,sample_276,c1ccccc1,-1.64,25,298.15,0.997,,
276,sample_277,C=C(Cl)Cl,-1.64,25,298.15,0.997,,
277,sample_278,O=C1NS(=O)(=O)c2ccccc21,-1.64,25,298.15,0.997,,
278,sample_279,CC12CCC(CC1)C(C)(C)O2,-1.64,25,298.15,0.997,,
279,sample_280,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64,25,298.15,0.997,,
280,sample_281,Nc1ccc(Cl)cc1,-1.66,25,298.15,0.997,,
281,sample_282,CCCC(C)(COC(N)=O)COC(N)=O,-1.67,25,298.15,0.997,,
282,sample_283,CC(=O)OC1CCCCC1,-1.67,25,298.15,0.997,,
283,sample_284,O=C(O)c1cccc([N+](=O)[O-])c1,-1.68,25,298.15,0.997,,
284,sample_285,BrCCBr,-1.68,25,298.15,0.997,,
285,sample_286,COc1c(Cl)ccc(Cl)c1C(=O)O,-1.70,25,298.15,0.997,,
286,sample_287,CCNc1ccccc1,-1.70,25,298.15,0.997,,
287,sample_288,CCCCCCC=O,-1.70,25,298.15,0.997,,
288,sample_289,FC(F)(F)C(Cl)Br,-1.71,25,298.15,0.997,,
289,sample_290,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71,25,298.15,0.997,,
290,sample_291,CCCCCC(C)(C)O,-1.72,25,298.15,0.997,,
291,sample_292,CCCCC(C)C(C)O,-1.72,25,298.15,0.997,,
292,sample_293,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,-1.73,25,298.15,0.997,,
293,sample_294,CCCBr,-1.73,25,298.15,0.997,,
294,sample_295,O=[N+]([O-])c1ccccc1O,-1.74,25,298.15,0.997,,
295,sample_296,ClC(Cl)C(Cl)Cl,-1.74,25,298.15,0.997,,
296,sample_297,Cc1ccc(S(N)(=O)=O)cc1,-1.74,25,298.15,0.997,,
297,sample_298,CCCCC(=O)OCC,-1.75,25,298.15,0.997,,
298,sample_299,CSc1ncc2nccnc2n1,-1.76,25,298.15,0.997,,
299,sample_300,NC(=O)c1ccccc1O,-1.76,25,298.15,0.997,,
300,sample_301,CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.76,25,298.15,0.997,,
301,sample_302,CC=CC=CC(=O)O,-1.77,25,298.15,0.997,,
302,sample_303,NC(=S)Nc1ccccc1,-1.77,25,298.15,0.997,,
303,sample_304,O=C1CSC(=S)N1,-1.77,25,298.15,0.997,,
304,sample_305,COC(=O)c1ccc(O)cc1,-1.78,25,298.15,0.997,,
305,sample_306,CCCOC(=O)c1cc(O)c(O)c(O)c1,-1.78,25,298.15,0.997,,
306,sample_307,CC(=O)Nc1ccc(F)cc1,-1.78,25,298.15,0.997,,
307,sample_308,O=[N+]([O-])c1ccccc1,-1.80,25,298.15,0.997,,
308,sample_309,CNC(=O)Oc1cccc(C)c1,-1.80,25,298.15,0.997,,
309,sample_310,Fc1ccccc1,-1.80,25,298.15,0.997,,
310,sample_311,CCCCCCCO,-1.81,25,298.15,0.997,,
311,sample_312,O=C(O)c1ccccc1O,-1.82,25,298.15,0.997,,
312,sample_313,CCC(=O)c1ccccc1,-1.83,25,298.15,0.997,,
313,sample_314,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83,25,298.15,0.997,,
314,sample_315,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84,25,298.15,0.997,,
315,sample_316,CCCCOCCCC,-1.85,25,298.15,0.997,,
316,sample_317,COc1ccccc1,-1.85,25,298.15,0.997,,
317,sample_318,CCCC(CCC)C(=O)O,-1.86,25,298.15,0.997,,
318,sample_319,COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87,25,298.15,0.997,,
319,sample_320,CC1CCCC(=O)C1,-1.87,25,298.15,0.997,,
320,sample_321,C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89,25,298.15,0.997,,
321,sample_322,CCCCCOC(C)=O,-1.89,25,298.15,0.997,,
322,sample_323,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89,25,298.15,0.997,,
323,sample_324,COc1ccc2c(c1OC)C(=O)OC2,-1.89,25,298.15,0.997,,
324,sample_325,O=C(O)CCCCCCCC(=O)O,-1.89,25,298.15,0.997,,
325,sample_326,ClC(Br)Br,-1.90,25,298.15,0.997,,
326,sample_327,BrC(Br)Br,-1.91,25,298.15,0.997,,
327,sample_328,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91,25,298.15,0.997,,
328,sample_329,CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91,25,298.15,0.997,,
329,sample_330,CCCOC(=O)CCC,-1.92,25,298.15,0.997,,
330,sample_331,COc1ccc(C=O)c(C(=O)O)c1OC,-1.92,25,298.15,0.997,,
331,sample_332,CCCCCCOC(N)=O,-1.92,25,298.15,0.997,,
332,sample_333,CN(C)c1ccccc1,-1.92,25,298.15,0.997,,
333,sample_334,CCC(=O)Nc1ccccc1,-1.92,25,298.15,0.997,,
334,sample_335,CC(=O)OCCC(C)C,-1.92,25,298.15,0.997,,
335,sample_336,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93,25,298.15,0.997,,
336,sample_337,OC(c1ccccc1)C(O)c1ccccc1,-1.93,25,298.15,0.997,,
337,sample_338,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-1.94,25,298.15,0.997,,
338,sample_339,Cc1ccc2ccc(C)nc2c1,-1.94,25,298.15,0.997,,
339,sample_340,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,25,298.15,0.997,,
340,sample_341,COc1ccccc1[N+](=O)[O-],-1.96,25,298.15,0.997,,
341,sample_342,O=C(O)C=Cc1c[nH]cn1,-1.96,25,298.15,0.997,,
342,sample_343,CCC(C)Cl,-1.96,25,298.15,0.997,,
343,sample_344,Nc1ccccc1[N+](=O)[O-],-1.96,25,298.15,0.997,,
344,sample_345,C1=CCC=CC1,-1.97,25,298.15,0.997,,
345,sample_346,Oc1ccc2c(c1)CCCC2,-1.99,25,298.15,0.997,,
346,sample_347,CC(Cl)(Cl)Cl,-2.00,25,298.15,0.997,,
347,sample_348,Cc1ccccc1S(N)(=O)=O,-2.02,25,298.15,0.997,,
348,sample_349,CCCCCl,-2.03,25,298.15,0.997,,
349,sample_350,CCCCCCC(C)=O,-2.05,25,298.15,0.997,,
350,sample_351,CNC(=O)Oc1ccccc1OC(C)C,-2.05,25,298.15,0.997,,
